Año_x,Trimestre_x,Provincia_x,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total,Item,Año_y,Trimestre_y,Provincia_y,Accesos por cada 100 hogares
2021,4,Salta,46.972,99.808,39.555,5.882,7.188,199.405,2021Salta,2021.0,2.0,Salta,"54,93"
2021,4,Salta,46.972,99.808,39.555,5.882,7.188,199.405,2021Salta,2021.0,1.0,Salta,"53,93"
2021,4,San Juan,35.868,13.102,11.072,11.423,8.493,79.958,2021San Juan,2021.0,4.0,San Juan,"39,59"
2021,4,San Juan,35.868,13.102,11.072,11.423,8.493,79.958,2021San Juan,2021.0,3.0,San Juan,"39,46"
2021,4,San Juan,35.868,13.102,11.072,11.423,8.493,79.958,2021San Juan,2021.0,2.0,San Juan,"39,28"
2021,4,San Juan,35.868,13.102,11.072,11.423,8.493,79.958,2021San Juan,2021.0,1.0,San Juan,"39,06"
2021,4,San Luis,8.472,11.064,30,70.560,28.723,118.849,2021San Luis,2021.0,4.0,San Luis,"80,3"
2021,4,San Luis,8.472,11.064,30,70.560,28.723,118.849,2021San Luis,2021.0,3.0,San Luis,"79,87"
2021,4,San Luis,8.472,11.064,30,70.560,28.723,118.849,2021San Luis,2021.0,2.0,San Luis,"83,48"
2021,4,San Luis,8.472,11.064,30,70.560,28.723,118.849,2021San Luis,2021.0,1.0,San Luis,"81,24"
2021,4,Santa Cruz,10.790,22.902,10.031,4.346,417.0,48.486,2021Santa Cruz,2021.0,4.0,Santa Cruz,"43,05"
2021,4,Santa Cruz,10.790,22.902,10.031,4.346,417.0,48.486,2021Santa Cruz,2021.0,3.0,Santa Cruz,"43,75"
2021,4,Santa Cruz,10.790,22.902,10.031,4.346,417.0,48.486,2021Santa Cruz,2021.0,2.0,Santa Cruz,"44,01"
2021,4,Santa Cruz,10.790,22.902,10.031,4.346,417.0,48.486,2021Santa Cruz,2021.0,1.0,Santa Cruz,"41,65"
2021,4,Santa Fe,233.427,444.373,128.856,43.556,16.229,866.441,2021Santa Fe,2021.0,4.0,Santa Fe,"77,09"
2021,4,Santa Fe,233.427,444.373,128.856,43.556,16.229,866.441,2021Santa Fe,2021.0,3.0,Santa Fe,"75,02"
2021,4,Santa Fe,233.427,444.373,128.856,43.556,16.229,866.441,2021Santa Fe,2021.0,2.0,Santa Fe,"75,07"
2021,4,Santa Fe,233.427,444.373,128.856,43.556,16.229,866.441,2021Santa Fe,2021.0,1.0,Santa Fe,"73,92"
2021,4,Santiago Del Estero,19.032,86.563,1.088,6.256,2.922,115.861,2021Santiago Del Estero,2021.0,4.0,Santiago Del Estero,"47,05"
2021,4,Santiago Del Estero,19.032,86.563,1.088,6.256,2.922,115.861,2021Santiago Del Estero,2021.0,3.0,Santiago Del Estero,47
2021,4,Santiago Del Estero,19.032,86.563,1.088,6.256,2.922,115.861,2021Santiago Del Estero,2021.0,2.0,Santiago Del Estero,"46,56"
2021,4,Santiago Del Estero,19.032,86.563,1.088,6.256,2.922,115.861,2021Santiago Del Estero,2021.0,1.0,Santiago Del Estero,"45,67"
2021,4,Tierra Del Fuego,13.317,38.148,426,124,342.0,52.357,2021Tierra Del Fuego,2021.0,4.0,Tierra Del Fuego,"98,4"
2021,4,Tierra Del Fuego,13.317,38.148,426,124,342.0,52.357,2021Tierra Del Fuego,2021.0,3.0,Tierra Del Fuego,"94,95"
2021,4,Tierra Del Fuego,13.317,38.148,426,124,342.0,52.357,2021Tierra Del Fuego,2021.0,2.0,Tierra Del Fuego,"67,89"
2021,4,Tierra Del Fuego,13.317,38.148,426,124,342.0,52.357,2021Tierra Del Fuego,2021.0,1.0,Tierra Del Fuego,"77,35"
2021,4,Tucumán,97.830,59.022,78.790,2.511,486.0,238.639,2021Tucumán,2021.0,4.0,Tucumán,"55,93"
2021,4,Tucumán,97.830,59.022,78.790,2.511,486.0,238.639,2021Tucumán,2021.0,3.0,Tucumán,"54,64"
2021,4,Tucumán,97.830,59.022,78.790,2.511,486.0,238.639,2021Tucumán,2021.0,2.0,Tucumán,"54,93"
2021,4,Tucumán,97.830,59.022,78.790,2.511,486.0,238.639,2021Tucumán,2021.0,1.0,Tucumán,"54,82"
2021,3,Buenos Aires,585.729,2.595.485,885.613,120.228,64.554,4.251.609,2021Buenos Aires,2021.0,4.0,Buenos Aires,"75,66"
2021,3,Buenos Aires,585.729,2.595.485,885.613,120.228,64.554,4.251.609,2021Buenos Aires,2021.0,3.0,Buenos Aires,"71,68"
2021,3,Buenos Aires,585.729,2.595.485,885.613,120.228,64.554,4.251.609,2021Buenos Aires,2021.0,2.0,Buenos Aires,70
2021,3,Buenos Aires,585.729,2.595.485,885.613,120.228,64.554,4.251.609,2021Buenos Aires,2021.0,1.0,Buenos Aires,"69,11"
2021,3,Capital Federal,142.902,1.192.107,42.966,6.059,29.371,1.413.405,2021Capital Federal,2021.0,4.0,Capital Federal,"111,27"
2021,3,Capital Federal,142.902,1.192.107,42.966,6.059,29.371,1.413.405,2021Capital Federal,2021.0,3.0,Capital Federal,"111,27"
2021,3,Capital Federal,142.902,1.192.107,42.966,6.059,29.371,1.413.405,2021Capital Federal,2021.0,2.0,Capital Federal,"110,14"
2021,3,Capital Federal,142.902,1.192.107,42.966,6.059,29.371,1.413.405,2021Capital Federal,2021.0,1.0,Capital Federal,"108,42"
2021,3,Catamarca,18.413,11.709,22.331,1.568,2.233,56.254,2021Catamarca,2021.0,4.0,Catamarca,"55,25"
2021,3,Catamarca,18.413,11.709,22.331,1.568,2.233,56.254,2021Catamarca,2021.0,3.0,Catamarca,"52,71"
2021,3,Catamarca,18.413,11.709,22.331,1.568,2.233,56.254,2021Catamarca,2021.0,2.0,Catamarca,"52,34"
2021,3,Catamarca,18.413,11.709,22.331,1.568,2.233,56.254,2021Catamarca,2021.0,1.0,Catamarca,"48,9"
2021,3,Chaco,38.258,63.659,27.583,8.018,2.353,139.871,2021Chaco,2021.0,4.0,Chaco,"44,05"
